id,text,prediction,true_label,time_taken
495,"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue",1,1,5.743736200034618
496,"Bestiestest. *teary-eyed* THE KING IS COMING! My God's not dead, He's surely alive! #God's #not #dead #faith http://t.co/6fG08vi4Lp",0,0,7.864047600189224
497,#Johnny #Football #time #is #not #a #fun time #any #more: The Cleveland Browns went into Sunday's game against the... http://t.co/Vm4E3dKexF,0,0,6.478814099915326
498,@cavs THAT'S WHAT I'M TALKING ABOUT! Awesome Win CAVS!!!!!!,0,0,5.5760371999349445
499,08:01am on the dot and the buzzer rings #helloworld #not #sleepy #tired #nothanks,0,1,7.332580000162125
500,"@Naaaauds Now I have a game Monday, Tuesday, friday and Saturday 😭😭",0,0,4.427431899821386
501,@FireInTheLyons Go you! #not Home until the 1st Jan. So excited!,0,0,5.650040900101885
502,Photo: Tuxedo Jumpsuit Sizes:Small-Large Color:Black Price:$65.00 Leave email and size for invoice http://t.co/wZ5qR1PIDB,0,0,7.112228599842638
503,#Analysis -- #Economic #issues #whip #up #Israelis #in #chocolate #pudding #election. http://t.co/5Fw5ymVB35 via @reuters,1,0,10.389868600061163
504,@SR_Duncan Three minutes is better than no minutes,0,0,4.996535199927166
505,"Found my motivation... Aka the back of my eye lids, by accident. Boy, me and @Kels_efollin are some winners. #not #senioritisisreal #losers",1,1,11.194309400161728
506,The ones that caught me by surprise were the ones I didn't expect #duh #redundantredundant,1,0,7.246227900031954
507,This time last year...shiid was hella funny...unforgettable #khwaaaa,0,0,6.875493899919093
508,Hoar frost is challenging for some to spell.,0,0,5.705360299907625
509,@AusPublica @KateOnTheGo Your views are not right wing or left wing...just vile.,0,0,6.617022899910808
510,@ramzaruglia @gamergater7685 Ah the 2014 #GamerGate Ebola campaign. How many people did we kill? #sarcasm,1,1,8.45070349983871
511,"Where is the promise of ""peace on earth"" in this? ""Lord, Thy Kingdom come, Thy will be done."" http://t.co/sSYoNx0IAo #Advent #terror #irony",1,1,8.591422700090334
512,"YOU are violent, it shows in your tweets @RBRNetwork1 @JoeHilgerman @Anan_VII @1_Free_Man @ABPT_Rocket",0,0,6.546450800029561
513,Gael 'pro at presentations' Anderson #not #choke,1,1,7.955512800021097
514,Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun #not@allpeaceful,1,1,9.223559099948034
515,#notcies #eu Cleaner air would offer major health benefits in the Balkans http://t.co/ddhYo37IRd,0,0,6.648594899801537
516,Loving how dominant the SEC is #Pause ..... #Not,1,1,7.007730999961495
517,Best Christmas Eve news: I have a half sister. 😂👍 #sarcasm #thanksdad,1,1,7.269457600079477
518,Brother💙 we don't look alike #not #frère #family #lovehim http://t.co/nCAt8xXqxQ,1,0,9.36277289991267
519,Looking at the stairs & imaging that scary dark creature coming up freaks me out,0,0,6.1200228000525385
520,@GalloSays at least there's a good football game on with zero chance of either of our teams losing lol,1,0,8.083426699973643
521,"we are all the same race, HUMAN the only race supported by the Human Genome Project @CalFreedomMom @RBRNetwork1 @msnbc @CNN @dkuck15138",0,0,10.265766100026667
522,Throwing up is exactly what I want to be doing at 7:30am... 😷😷😷 #not,1,1,7.416900799842551
523,Well this is great.. #sarcasm|Illinois Passes Bill That Makes It Illegal To Record The Police http://t.co/FZaY2AVx9t,1,1,6.034150399966165
524,"@ollielocke now, to remember which book... #goodluck",1,0,8.35975439986214
525,@ArianaGicPerry Ahem... yeah.. something like that ;)#irony is one of the few things keeping sanity when facing RU propaganda. #CrazyIvan,1,0,8.703307199990377
526,so glad I came to work at 7:30am for all the customers that are here!!!!!! #not #itsdead,0,1,5.411268499912694
527,Still time to enter our @ErinCondren planner giveaway courtesy of @MyFairDaily & @Kallie_E http://t.co/s0mSVqtpXu #bbloggers #lbloggers,0,0,7.12209689989686
528,Check out the new novel Black Beauties by Eureka Johnson on http://t.co/i41rA7tPwm or http://t.co/myWiVY4Juv,0,0,5.078888999996707
529,@deray Definitely not...racism is systematic and entrenched in every American institution..also in black/white binary construction,0,0,8.16875179996714
530,Forest Hills Drive on my playlist naw....,0,0,6.55374399991706
531,Full on man flu just in time for a weekend of work!! #awesome #sarcasm #coldandflu,1,1,7.70959040010348
532,"@JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm",1,1,6.576611200114712
533,"Zuma reads the quote ""People are not fighting for ideas, they fight for material benefits. To live in peace."" #Irony #YCLNationalCongress",1,1,9.025476900162175
534,Because a field trip two days before finals is exactly what I need #not,1,1,5.523043900029734
535,"sony emails tells me a few things. wealthy, high powered business(wo)men are ugly people, stupid & need to learn how to spell. #SonyHack",1,0,10.41663570003584
