id,text,prediction,true_label,time_taken
1,@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,0,15.697045099921525
2,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,1,10.026669500162825
3,#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,0,11.033215999836102
4,@mickymantell He is exactly that sort of person. Weirdo!,1,0,8.901206099893898
5,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,1,10.586858100024983
6,Corny jokes are my absolute favorite,1,0,8.493470099987462
7,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,1,12.245277400128543
8,"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,0,8.634882800048217
9,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",1,0,11.892299999948591
10,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",0,1,8.254604000132531
11,Most important thing I've learned in school http://t.co/TvfJMGBlBh,0,0,7.887649899814278
12,#OrionLaunch underway - yeah! #Orion http://t.co/0Qkv1yq8T0,0,0,7.955851099919528
13,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,1,1,13.964650599984452
14,Oh boy... @masongoodman in the house. Warm up the DJ booth @AnnexBar,0,0,9.056985300034285
15,"LIAR, i've never denied the 532 murders in Chicago in 2012 @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin",0,0,15.089496599975973
16,"Always classy, never trashy and just a little sassy.",0,0,6.851102200103924
17,"you believe you can say something, provide no proof and its a fact, WRONG @RBRNetwork1 @jtarleta53",0,0,11.026483900146559
18,@ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,0,0,21.70466300006956
19,@Praise1300 Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,0,0,16.291075200075284
20,@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,1,1,11.533720999956131
21,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,1,1,11.786914399825037
22,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,1,1,14.07880390016362
23,Pretty excited about how you gave up on me. File Under: #sarcasm,1,1,10.388551200041547
24,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,1,1,16.5126436999999
25,@bigedh456 u know that. How u doing??,0,0,8.752492799889296
26,@LukeLPearson hmm... let me think about that #sarcasm,1,1,8.918962499825284
27,"If you wanna look like a badass, have drama on social media #not",1,1,10.131971599999815
28,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,1,1,13.562311100075021
