id,text,prediction,true_label,time_taken
306,I have officially surrounded myself with the most amazing people 😊,0,0,10.21321053600002
307,@jthurgood1 @Cameron_Gray republicans suck more at identifying #irony than alanis morissette.,1,0,8.409179908000056
308,That's always the solution..... #not. Doesn't fix anything!,0,1,6.120775826999989
309,Name an #excuse that people use #NOT to #workout ... http://t.co/tE75PwPGbm,1,0,8.243503066000017
310,"@SteveMcKrosky @imbalaska @DaveMyFace @Clover_Joy_ @den2114 @MeyrickHarris ""left regressives"" is that not a label #irony",1,1,8.816374671000062
311,@Brice_Jones but you can't expect us to hire one in only 3 weeks. Who moves that quickly on a coaching search? #sarcasm,1,0,7.211290043999952
312,A #celebrity is a person who is known for his well-knownness. #fact #TeamFollowBack #irony,1,1,7.38933942299991
313,Is there a basketball game on today? I'm not really sure. #ESPN seems to not be promoting anything about it. #sarcasm,1,1,6.1430546699999695
314,@Ed_Miliband @edballsmp @andyburnhammp We Agree #NHSENGLAND needs to #Publish #AandE figures over #HolidayPeriod #Sarcasm from #JeremyHunt,1,0,11.021064523000064
315,"If you've got the world on a string, you should give me some of that string, think of all the cool applications. #whatamidoing",1,0,9.394768223000028
6,Corny jokes are my absolute favorite,0,0,9.64439848300026
7,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,1,8.831751793999956
8,"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,0,6.444506997999724
9,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",1,0,7.963457120999919
10,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",0,1,7.307884230999662
11,Most important thing I've learned in school http://t.co/TvfJMGBlBh,0,0,7.43327968299991
12,#OrionLaunch underway - yeah! #Orion http://t.co/0Qkv1yq8T0,0,0,5.7712911630001145
13,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,1,1,7.345198551000067
14,Oh boy... @masongoodman in the house. Warm up the DJ booth @AnnexBar,0,0,8.222137268000097
15,"LIAR, i've never denied the 532 murders in Chicago in 2012 @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin",0,0,9.551060827000128
16,"Always classy, never trashy and just a little sassy.",0,0,6.823156398000265
17,"you believe you can say something, provide no proof and its a fact, WRONG @RBRNetwork1 @jtarleta53",0,0,6.45261910499994
18,@ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,0,0,11.269254266000187
19,@Praise1300 Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,0,0,7.042525014000148
20,@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,1,1,11.757703242999924
21,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,1,1,7.0285373480001
22,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,1,1,10.124252181999964
23,Pretty excited about how you gave up on me. File Under: #sarcasm,1,1,6.865548957000101
24,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,1,1,9.34763132099988
25,@bigedh456 u know that. How u doing??,0,0,8.029976145000091
26,@LukeLPearson hmm... let me think about that #sarcasm,1,1,6.641028636000101
27,"If you wanna look like a badass, have drama on social media #not",1,1,8.178797582999778
28,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,1,1,7.448734301000059
29,"@LaurenBailes I think the general rule is, if it's open all night, pull an all-nighter.",0,0,7.726415764999729
30,Natalie Prass - Bird of Prey: http://t.co/n7YgEkpr4l via @YouTube,0,0,6.042892169999959
31,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt,0,0,6.289943226000105
32,"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony",1,1,8.766261255000245
33,@BunnyDhillon17 exactly and we are fighting like animals,0,0,7.599191093999707
34,http://t.co/PfJ92w4CwZ #TeenAnalCasting #Top Top 50 Christian Songs For 2012,1,0,10.32055357900026
35,The girls on #SororitySisters thought they'd get rich and famous but instead they be like... http://t.co/yGnRtq0tVy,1,0,6.687713664999592
36,"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?",0,0,8.646222695999768
37,http://t.co/fepZHFy79Z #TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009,1,0,11.070839075000094
38,"season 6 episode 3 carries outfit, simple & chic 👌 http://t.co/QuliJvFNdK",0,0,8.315376773000025
39,Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed,1,1,7.641707436999695
40,"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb",1,1,9.185216313000184
41,Stupid #doctors visits is gonna bury me!! Now that's #irony,1,1,8.210759022000275
42,"Love the way @virginmedia says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony",1,1,10.301912695000285
43,Planning a vacation instead of studying.... My priorities are in line. #NOT,0,1,8.029930436000086
44,Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks,0,0,7.1085911410000335
45,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤,1,1,8.295265633999861
46,@ChainAttackJay No sugar during christmas time? :(,0,0,5.30182886800003
47,Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not,0,1,8.005163902000277
48,@siddharth_0703 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony,0,1,8.431901459000073
49,the ONLY time a crime becomes a federal crime @RBRNetwork1 @TheOldBreed1775 @Joseph_WarrenDR @jus1314tin @IndyEnigma @CoutoPanda,0,0,6.310786736999944
50,this music is for the people and not for the money. peace and love. http://t.co/jPHID2P2Wc #KINGLIFE,0,0,7.669235514999855
51,Rangers league game with Alloa moved because of the Petrofac Cup final in April... #irony,1,1,8.06268780099981
52,How to Find a Life Coach (& the questions you need to ask before hiring one) http://t.co/8qgrXywmNe via> @DrGaryWood,0,0,7.01803264199998
53,I wonder what was the holiday rituals for true Africans,0,0,9.65431646099978
54,Been at the ER now since 10... #yay #not,1,1,8.36453626599996
55,@LanceMedow Suhs been clean for 2 years and has only been in the league for five don't act like he was dirty for 10 years#not biased my ass,1,0,10.358067922000371
56,"@StevePulcinella @Coseph05 thank you studs for perfecting and teaching my bench, respectively. Props on form from lifters in AL. #DYEL",0,0,6.72986916300033
57,Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg,1,0,9.077560661000009
58,"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm",1,1,9.71923427899992
59,"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout",1,0,12.10497336799972
60,Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets,0,0,8.06676271599963
61,@PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.,0,0,9.741027842999756
62,Loooovvveeeeeee when my phone gets wiped -.- #not,1,1,6.167849498999658
63,Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony,0,1,8.529986393999934
64,Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm,1,1,9.633300223000331
65,I just love being ignored😊|#not😒,1,1,7.425408177000008
66,"#Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.",1,1,10.465372658999968
67,Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M,0,1,6.046368240999982
68,Decide that you want it more than you are afraid of it. -Bill Cosby|#irony,1,1,9.127639688999809
69,"Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.",0,0,9.700442602999829
70,Merry Christmas to all those soldiers out there that couldn't make it home! I love you all ❤,0,0,6.283855670000321
71,About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.,1,0,10.192438774000038
72,Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem,0,0,6.536987699999827
73,itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm,1,1,7.502897170000324
74,"Woke Up , showered , made a lunch and got ready for work only to realize that I have the whole weekend off. 😅",0,0,7.500044716000048
75,@bencasselman @davidmwessel @PaulKrugmanBlog @TheDailyShow @DemocracyNow How many of those jobs earn #middleclass wages? #Economics #Math #Z,0,0,7.9209787650002
76,I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony,1,1,8.783628280999892
77,Incredible insight on the @VIKTORIAMODESTA #bornrisky campaign: http://t.co/9UJQRmsKJm #amputee #movement #equality #art #prosthetics,0,0,6.351453588999902
78,Love #hiphop mix tapes or have a mixtape to promote check out http://t.co/p3gz74UIhG follow them on twitter #undergroundhiphop,0,0,7.9961342840001635
79,"Extended cut ""NICHA"" https://t.co/qdzpcuRqc1 #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes",0,0,10.336824620000243
80,@NormanWalshUK Stunning work. #british #textiles #footwear #madeinbritain #not-a-nike-clone,0,0,9.168972509000014
81,@PotPolitics @foxnewspolitics Sent it but too slow. I had already posted.,0,0,6.8945010500001445
82,#FEMALECONDOM #anally #vaginally #prevent STD's/HIV/pregnancy #latex #free #NOT #Restrictive/tight #women/gay men http://t.co/KOZkgTpgca,0,0,8.950903762000053
83,Little cutie #Chico #Dog #Doggy #Puppy #Sweet #Cute #UK #Black #Biscuit #Not #Mine #Mini #Miss #My http://t.co/FklIanJqox,1,0,9.669852024999727
84,@GlobalGrind Niagra Falls tho... Really? #irony #LOL,1,1,7.3024749719998
85,"If we win against Poland and Scotland, does that put us 65th in the world rankings. @YouBoysInGreen @FAIreland #Sarcasm",1,1,8.404565379999895
86,#Myanmar #men #plead #not #guilty to #murder of #British #tourists. http://t.co/flrKr3H6Kl via @reuters,0,0,8.657507498999621
87,"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not",1,1,8.524012199000026
88,@LadySandersfarm: Garner protesters chant 'F*ck Fox News' despite Fox agreeing with them http://t.co/GWIS4hZAI6 #EricGarner #Irony,1,1,9.101290701999917
89,"@TheOliverStone After 1989, why did NATO need to expand?",0,0,7.928902506999748
90,The #Irony of playing this song on my way to #work |#NoMoney #PartTimeCooks blackmossptc thanks for... http://t.co/n9b7T2Xj84,1,1,10.894211993000226
91,You are taking your responsibilities so seriously today that i... More for Leo http://t.co/HJ6TebH4o6,1,0,7.68776777300036
92,@RozieBreen @CllrKWakefield @tomriordan @GaryVerity @BBCLeedsif we get it right for business the trickle down fairy will do the rest #NOT,0,1,7.452502488999926
93,can you not understand that not EVERYTHING is about the President? @RBRNetwork1 @goteamslots @BrianBullinger @jtarleta53,0,0,6.507776151000144
94,When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not,1,1,8.361494970999956
95,"Well now the festive season has begun, let's take a moment to reflect on how much more royalties Slade and Wizard will get #sarcasm",1,1,9.046003884999664
96,"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly",0,0,7.508215690999805
97,MB forgot to move the elf on shelf and now 10 is asking me if Christmas is real. 😥@NannyProbss,0,0,7.639231934000236
98,"@CrizzArce happy new year, da! Thanks sobra for this year 👍👍",0,0,5.644271719000244
99,WATCH: #Megatron from #Transformers Rant About Social Media http://t.co/M9F1MWufXH #Irony,1,0,8.106298595000226
100,@playstation @sony #not #working when are we able to download games we paid in good faith? #psn start working again? http://t.co/MVSikoFvBl,0,0,6.749443102999976
101,I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep. #irony,1,1,9.659594753999954
102,@CMBaseball41 happy birthday Skip! We will always love you! #Phillies #legend,0,0,6.429602534000424
103,"or a trout, or northern pike|@brownbearmike1 @RBRNetwork1 @Anan_VII @Dolphin__Man @Graves9",0,0,7.123029091999797
104,One of my favorite things to do is to make people wonder...it was completely unintentional but buying Bogs mud boots in a dress will do it,1,0,8.19587161499976
105,"Watching Sanjay, @JimPeteHoops ... Getting the start vs. Butler and liking what I see! #Minny",0,0,7.844048279000162
106,There's no better way to start the week than to get your wisdom teeth taken out at 8 am!!! #not ☺😊😳,1,1,8.192491817000246
107,The most exciting way to start a Friday: a presentation on structurally deficient bridges. #sarcasm #lobbyinglife,1,1,7.42446536000034
108,New shirt #new #shirt #im #sorry #its #just #i #literally #do #not #care #at #all http://t.co/4L8inLJg9N,1,0,8.657635997000398
109,@terry_legg @SR_Duncan @KateOnTheGo It wasn't for one person. It was a business expense.,0,0,7.296887917000276
110,HAHAHAHA!! Oops.......I'm addicted to @OneMoreJoke Tweets sooo FUNNY! You Got to follow him for #HILARIOUS #SARCASM #tweets #RT.,1,0,8.489433308000116
111,@BBCiPlayer @EndorProds @mrmichaelball absolutely loved it! Well done all involved!,0,0,5.9507277390002855
112,"@lnritter_ That was the case, not the recording.So comparing the two is apple & oranges.",0,0,6.75188189399978
113,Wow...lol||Need cash in your hands today? Go to http://t.co/Mn8psbZpFH||#workfromhome #not #wun #not #mca... http://t.co/2ST4Esm0xK,1,0,9.476656978000392
114,At least I don't have to clean the floor,1,0,9.283026168000106
115,Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony,1,1,12.1490745279998
116,@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm,1,1,10.195251679000648
117,#AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4,0,0,10.0352048929999
118,One of the most embarrassing losses @GoPittFootball Ever. #WTF,0,0,7.154807996000272
119,@ProFootballTalk untrue - its Cutler's fault,0,0,6.828429246999804
120,#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony,1,1,9.196602622000682
121,http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm,1,0,9.354084575000345
122,Testing water temperatures #excitingtimes #Not,1,1,7.824260538999624
123,Waking up with your cat attacking your hand is always delightful..... #not,1,1,7.286269790000006
124,"May not have hung out with you as much as some people, but every time we did it was a blast! You... http://t.co/Ikgz8u9Fos",0,0,8.360220638999635
125,@SenWarren the #USA is #NOT a #Democracy. The #USA is a #Republic from of #Goverment! Do you #Know #what the #Pledge of #Allegiance say's?,0,0,9.64233311099997
126,I blame my mom. Mother of the Year #sarcasm,1,1,8.006449014000282
127,Pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today. #irony,1,1,9.943459174999589
128,"@GlenjiUTLR @JoshStevo95 To be fair, you didn't use the mandatory #sarcasm hashtag :P",1,0,7.370606123000471
129,"'I like the hope Jan Ellis writes with, the precision of the prose, and also the #humour and #irony she brings.' http://t.co/mevDxiqijg",0,0,6.12850304299991
130,Girls just wanna have fun#work#not#friends#only#dance#drinks#antennagrouprocks by mariag... http://t.co/7vN6UqpvQE http://t.co/hVxMXRdktM,0,0,10.672179658999994
