id,text,prediction,true_label,time_taken
1,@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,0,9.631128716981038
2,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,1,10.580000555986771
3,#NOT GONNA WIN http://t.co/Mc9ebqjAqj,1,0,9.335033643001225
4,@mickymantell He is exactly that sort of person. Weirdo!,1,0,7.389276090980275
5,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,1,7.935149798984639
6,Corny jokes are my absolute favorite,1,0,8.392365196021274
7,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,1,8.135852001985768
8,"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",1,0,7.441828585986514
9,"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",1,0,6.46637614199426
10,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,1,9.204940936004277
11,Most important thing I've learned in school http://t.co/TvfJMGBlBh,0,0,6.958415025990689
12,#OrionLaunch underway - yeah! #Orion http://t.co/0Qkv1yq8T0,0,0,5.688025312003447
13,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,0,1,6.404757384007098
14,Oh boy... @masongoodman in the house. Warm up the DJ booth @AnnexBar,0,0,5.437487996998243
15,"LIAR, i've never denied the 532 murders in Chicago in 2012 @RBRNetwork1 @TheOldBreed1775 @Dolphin__Man @Joseph_WarrenDR @jus1314tin",1,0,7.808449787989957
16,"Always classy, never trashy and just a little sassy.",0,0,6.391044728981797
17,"you believe you can say something, provide no proof and its a fact, WRONG @RBRNetwork1 @jtarleta53",0,0,5.409299285005545
18,@ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,0,0,9.31394482802716
19,@Praise1300 Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,0,0,7.03499863599427
20,@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,1,1,7.845435467985226
